# task_id	sweep	family	N	alpha	t	method	variant
B_N__F0__n100000__a100__t10000000__ours__enum_sampling	B_N	F0	100000	100	10000000	ours	enum_sampling
B_N__F0__n100000__a100__t10000000__ours__sampling	B_N	F0	100000	100	10000000	ours	sampling
B_N__F0__n100000__a100__t10000000__kd_tree__sampling	B_N	F0	100000	100	10000000	kd_tree	sampling
B_N__F0__n200000__a100__t10000000__ours__enum_sampling	B_N	F0	200000	100	10000000	ours	enum_sampling
B_N__F0__n200000__a100__t10000000__ours__sampling	B_N	F0	200000	100	10000000	ours	sampling
B_N__F0__n200000__a100__t10000000__kd_tree__sampling	B_N	F0	200000	100	10000000	kd_tree	sampling
B_N__F0__n500000__a100__t10000000__ours__enum_sampling	B_N	F0	500000	100	10000000	ours	enum_sampling
B_N__F0__n500000__a100__t10000000__ours__sampling	B_N	F0	500000	100	10000000	ours	sampling
B_N__F0__n500000__a100__t10000000__kd_tree__sampling	B_N	F0	500000	100	10000000	kd_tree	sampling
B_N__F0__n1000000__a100__t10000000__ours__enum_sampling	B_N	F0	1000000	100	10000000	ours	enum_sampling
B_N__F0__n1000000__a100__t10000000__ours__sampling	B_N	F0	1000000	100	10000000	ours	sampling
B_N__F0__n1000000__a100__t10000000__kd_tree__sampling	B_N	F0	1000000	100	10000000	kd_tree	sampling
